tiempo,Theta1,Theta2
5.85,100.474597287865,-117.962310707871
5.865,100.643293624132,-118.084588793498
5.88,100.810112227834,-118.207953238115
5.895,100.97508308977,-118.332358020363
5.91,101.138232099931,-118.457758548078
5.925,101.299581423768,-118.584111535019
5.94,101.459149834795,-118.711374890004
5.955,101.616953009487,-118.8395076169
5.97,101.773003789552,-118.96846972415
5.985,101.927312415822,-119.09822214268
6,102.079886737414,-119.228726651242
6.015,102.230732399254,-119.359945808322
6.03,102.379853010622,-119.491842889899
6.045,102.527250297007,-119.624381832413
6.06,102.672924237227,-119.757527180388
6.075,102.81687318754,-119.891244038223
6.09,102.959093994215,-120.025498025734
6.105,103.099582095843,-120.160255237059
6.12,103.238331616537,-120.295482202596
6.135,103.375335450986,-120.431145853696
6.15,103.510585342236,-120.567213489833
6.165,103.644071952964,-120.703652748021
6.18,103.7757849309,-120.840431574286
6.195,103.905712969023,-120.977518196991
6.21,104.033843861016,-121.114881101862
6.225,104.160164552486,-121.252489008551
6.24,104.284661188341,-121.390310848624
6.255,104.407319156707,-121.528315744835
6.27,104.52812312971,-121.666472991578
6.285,104.647057101426,-121.804752036438
6.3,104.764104423266,-121.943122462726
6.315,104.879247837024,-122.081553972933
6.33,104.992469505821,-122.220016373025
6.345,105.103751043127,-122.358479557514
6.36,105.21307354004,-122.496913495231
6.375,105.32041759098,-122.635288215769
6.39,105.425763317942,-122.773573796516
6.405,105.529090393438,-122.911740350251
6.42,105.630378062251,-123.049758013251
6.435,105.729605162092,-123.187596933863
6.45,105.826750143281,-123.325227261521
6.465,105.921791087519,-123.462619136146
6.48,106.014705725842,-123.599742677923
6.495,106.105471455836,-123.736567977409
6.51,106.194065358161,-123.873065085942
6.525,106.280464212464,-124.009204006333
6.54,106.364644512723,-124.144954683813
6.555,106.446582482079,-124.2802869972
6.57,106.526254087202,-124.415170750275
6.585,106.603635052219,-124.549575663345
6.6,106.678700872259,-124.683471364956
6.615,106.751426826633,-124.816827383753
6.63,106.821787991692,-124.949613140451
6.645,106.889759253368,-125.081797939916
6.66,106.955315319448,-125.21335096331
6.675,107.018430731572,-125.344241260303
6.69,107.079079876999,-125.474437741319
6.705,107.137237000125,-125.603909169799
6.72,107.192876213794,-125.732624154466
6.735,107.245971510387,-125.86055114156
6.75,107.296496772698,-125.987658407029
6.765,107.344425784617,-126.113914048657
6.78,107.389732241588,-126.239285978094
6.795,107.43238976087,-126.363741912777
6.81,107.472371891572,-126.48724936771
6.825,107.509652124468,-126.609775647078
6.84,107.544203901565,-126.731287835665
6.855,107.576000625425,-126.851752790057
6.87,107.605015668207,-126.971137129576
6.885,107.631222380419,-127.089407226945
6.9,107.654594099344,-127.206529198613
6.915,107.675104157121,-127.322468894733
6.93,107.692725888439,-127.437191888728
6.945,107.70743263781,-127.550663466418
6.96,107.719197766381,-127.662848614652
6.975,107.727994658231,-127.773712009401
6.99,107.733796726116,-127.883218003247
7.005,107.736577416582,-127.991330612218
7.02,107.736310214405,-128.098013501907
7.035,107.73296864628,-128.20322997279
7.05,107.726526283677,-128.30694294469
7.065,107.716956744788,-128.409114940283
7.08,107.704233695473,-128.509708067571
7.095,107.6883308491,-128.608684001225
7.11,107.66922196518,-128.70600396268
7.125,107.646880846659,-128.801628698881
7.14,107.621281335755,-128.895518459542
7.155,107.592397308188,-128.987632972791
7.17,107.56020266564,-129.077931419037
7.185,107.52467132629,-129.166372402902
7.2,107.485777213215,-129.25291392304
7.215,107.44349424047,-129.337513339622
7.23,107.397796296606,-129.420127339299
7.245,107.348657225384,-129.500711897362
7.26,107.296050803413,-129.57922223687
7.275,107.239950714405,-129.655612784419
7.29,107.180330519715,-129.729837122237
7.305,107.117163624806,-129.801847936244
7.32,107.050423241228,-129.871596959672
7.335,106.980082343652,-129.939034911786
7.35,106.906113621481,-130.004111431222
7.365,106.828489424456,-130.066775003376
7.38,106.747181701658,-130.126972881219
7.395,106.662161933206,-130.184650998849
7.41,106.573401053868,-130.239753876977
7.425,106.48086936773,-130.29222451949
7.44,106.384536452937,-130.342004300083
7.455,106.284371055401,-130.389032837832
7.47,106.180340970232,-130.43324786045
7.485,106.072412909476,-130.474585053779
7.5,105.960552354561,-130.512977895865
7.515,105.8447233916,-130.548357473751
7.53,105.724888527477,-130.580652280848
7.545,105.601008484293,-130.609787992399
7.56,105.47304196941,-130.635687216223
7.575,105.340945417904,-130.658269215457
7.59,105.204672703709,-130.677449599487
7.605,105.06417481514,-130.693139978677
7.62,104.919399489772,-130.705247577722
7.635,104.770290802756,-130.713674801593
7.65,104.616788701626,-130.718318746973
7.665,104.458828479361,-130.719070650774
7.68,104.29634017593,-130.715815265773
7.695,104.129247896646,-130.708430151471
7.71,103.957469033294,-130.696784865903
7.725,103.780913371113,-130.68074004122
7.74,103.599482061072,-130.660146322171
7.755,103.413066432327,-130.63484314207
7.77,103.221546613932,-130.604657304977
7.785,103.024789927547,-130.569401335477
7.8,102.822649003324,-130.528871547885
